"Food ID"	"Name"	"Optional Name"	"Description"	"Scientific Name"	"Derivation"	"Nitrogen Factor"	"Fat Factor"	"Specific Gravity"	"Sampling details"	"Inedible Portion"	"Edible Portion"	"Group"	"Sub Group"	"Sort Order"
"10E10085"	"Nutmeg, ground"	""	"Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice."	"Myristica fragrans"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA, record 02025 and UK 5th edition, record 844. Cholesterol imputed zero."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"11"
"10E10088"	"Oregano, dried"	""	"Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb."	"Origanum vulgare"	"Borrowed"	"6.25"	"0.800"	"0.000"	"Data compiled from a range of literature sources. Note low sum of proximates - data should be used with caution. "	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"12"
"10E10080"	"Pepper, ground, black or white"	""	"Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice."	""	"NNS 1995"	"6.25"	"0.956"	"0.000"	"The majority of nutrients were compiled for AUSNUT 1999. Carotenes and Se were borrowed from USDA 19, record 2030. No further information available."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"13"
"10F60089"	"Salt substitute, potassium chloride"	""	"Product sold as a replacement for regular table salt, containing predominantly potassium chloride."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 3 samples purchased in Sydney in 1984. Remaining values imputed from regular table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"14"
"10F60091"	"Salt, cooking"	""	"Coarse grained salt sold in a form suitable for cooking use."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 3 samples purchased in Sydney in 1983. Remaining values are taken from regular table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"15"
"10F60088"	"Salt, flavoured"	""	"Seasoning product that is primarily table salt to which various flavourings (such as celery, garlic, onion, herbs or chicken) are added."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 3 samples purchased in Sydney in 1983. Remaining values are imputed from regular table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"16"
"10F60085"	"Salt, rock"	""	"A type of table salt that is predominantly sodium chloride but may contain a number of other minerals."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 5 samples purchased in Sydney in 1983. Remaining values estimated from regular table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"17"
"10F60086"	"Salt, sea"	""	"A type of table salt that is predominantly sodium chloride but may contain a number of other minerals."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 7 samples purchased in Sydney in 1983. Remaining values estimated from regular table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"18"
"10F60084"	"Salt, table, iodised"	""	"Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents."	"Sodium chloride"	"Analysed"	"6.25"	"0.956"	"0.000"	"Minerals were derived from 6 samples of iodised table salt purchased in Qld, Vic and WA in 2004. Remaining values were imputed from non-iodised table salt. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"19"
"10F60080"	"Salt, table, non-iodised"	""	"Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium."	"Sodium chloride"	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 3 samples of table salt purchased in Sydney in 1983. I, Se, Mo, Ni, Cr were derived from 6 samples of table salt purchased in Qld, SA and Tas in 2004. Ca, P, Fe were imputed from analysed values for iodised table salt. Moisture is borrowed from USDA 18, record 247. Cl is calculated from the molecular formula after being adjusted for other components. Remaining values were prepared for AUSNUT 1999 and appear to have been imputed based on assumptions about the product composition. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"20"
"10F60092"	"Seasoning mix, chilli-based, for tacos"	""	"Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"The majority of nutrients were derived from a composite of 8 samples of taco seasoning mix (4x Old El Paso, 3x Casa Fiesta, 1x Farmland) purchased in Adelaide in January 1996. Retinol and cholesterol were imputed. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"21"
"10F60090"	"Seasoning, salt-based"	""	"Dry product that contains a large proportion of salt together with other flavourings such as spices."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Na and K were derived from 6 samples purchased in Sydney in 1983. Mineral data other than Na and K were imputed from stock cubes. The remaining nutrients were estimated assuming the product contains approximately 70% starch and 5% sugars. Cholesterol imputed zero."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"22"
"10F60095"	"Stock, dry powder"	""	"Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"The majority of nutrient data were derived from the analysis of 2 composite samples purchased in Adelaide in around 1990. Retinol, fibre and vitamin C are imputed. Total nitrogen reduced by 10% to account for purine nitrogen. Cholesterol imputed zero."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"23"
"10E10086"	"Thyme, dried"	""	"Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb."	"Thymus vulgaris"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA, record 02042 and UK 5th edition, record 851. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"24"
"10E10087"	"Turmeric, ground"	""	"Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice."	"Curcuma domestica or Curcuma longa"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from a range of literature sources. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"25"
"14B10123"	"Baking soda (bicarbonate), dry powder"	""	"Fine white powder used to chemically leaven baked goods such as cakes."	"Sodium bicarbonate"	"NNS 1995"	"6.25"	"0.956"	"0.000"	"The majority of nutrients were prepared for AUSNUT 1999. Sodium content was estimated from molecular formula. No further information is available. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"26"
"14B10155"	"Cream of tartar, dry powder"	""	"Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures."	"Potassium bitartrate"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA, record 18373."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"27"
"10F60093"	"Gelatine, powder, unflavoured"	""	"Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts."	""	"Analysed"	"5.55"	"0.956"	"0.000"	"The majority of nutrients including proximates, minerals and vitamins were derived from a composite sample of 6 purchases of Davis gelatine purchased in Adelaide in 1990 (AGAL 1990). Vitamin C, starch, dietary fibre and retinol were imputed based on international literature."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"28"
"13B20191"	"Lecithin, soy, granules"	""	"Phospholipid-rich granular extract of soy beans, often used in baking and as an emulsifier, as purchased from supermarkets for domestic use."	""	"Analysed"	"5.71"	"0.956"	"0.000"	"The majority of nutrients were derived from a composite sample of 6 purchases of soy lecithin in Adelaide in May 1989."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"29"
"10F60083"	"Vanilla bean extract, alcohol based"	"Vanilla"	"Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent."	""	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA 16, record 02051"	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"30"
"10F60094"	"Vanilla, artificial, extract, alcohol free"	"Vanilla"	"Solution containing the substance vanillin, used as a flavouring agent."	""	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA 16, record 02053"	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"31"
"10F30008"	"Yeast, bakers, compressed"	""	"A cream or pale grey paste with a fine, smooth texture. Active raising agent used to leaven a wide range of breads, cakes and pastries."	"Saccharomyces cerevisiae"	"Analysed"	"6.25"	"0.800"	"0.000"	"The majority of nutrients including proximates, vitamins and minerals were derived from a composite sample of 6 purchases of fresh compressed bakers yeast purchased in Adelaide in 1990 (AGAL 1990). Vitamin C, cholesterol and retinol were imputed based on international literature. Folate borrowed from UK 6th edition, record 1234. Fibre borrowed from USDA 19, record 18374. The analysed nitrogen value was reduced by 10% to account for purine nitrogen."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"32"
"10F30009"	"Yeast, dried"	""	"A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries."	"Saccharomyces cerevisiae"	"Analysed"	"6.25"	"0.800"	"0.000"	"The majority of nutrients including proximates, vitamins and minerals were derived from a composite sample of 6 purchases of Supercook dry yeast purchased in Adelaide in 1990 (AGAL 1990). Vitamin C, cholesterol and retinol values were imputed based on international literature. Folate value borrowed from UK 6th edition, record 1235. The analysed nitrogen value was reduced by 10% to account for purine nitrogen. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Home ingredient"	"33"
"01A10064"	"Beer, ale"	""	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using warm temperature fermentation. Approximately 5% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.006"	"The majority of nutrients were derived from a composite sample of 4 brands of Australian bottled/canned beer labelled as being ale purchased in Adelaide and Canberra in 1990. Folate borrowed from British miscellaneous foods book, 1994 food 209. Heavy metals were derived from composite samples of beer purchased in all Australian states (except NT and ACT) in 1998 (19th ATDS). I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Fatty acid totals were prepared for 1995 NNS. Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"34"
"01A10065"	"Beer, bitter"	""	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), and described on the label as bitter style. Approximately 3.9% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.006"	"The majority of nutrients were derived from 2 samples including 3 brands purchased in Adelaide, December 1989. Folate was derived from a composite of 6 samples of beer (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"35"
"01A10073"	"Beer, draught"	""	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), and described on the label as draught style. Approximately 3.3% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.006"	"The majority of nutrients were derived from 6 samples, including 4 brands of beer purchased in Adelaide, December 1989. Folate was derived from a composite sample of 6 beers (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"36"
"01A10066"	"Beer, home-brewed"	"Home Brew"	"Alcoholic beverage prepared in the home and characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley). Includes beers described as bitter, draught and lager. Approximately 3.9% v/v alcohol."	""	"Calculated"	"6.25"	"0.800"	"1.006"	"The majority of nutrients were calculated for AUSNUT 1999 from nutrients in beer (99.5 g/100 g) and brewers yeast (0.5 g/100 g). Starch, dextrins and selenium are imputed based on levels in other beers. No further information available."	"nil"	"100%"	"Beverages"	"Alcoholic"	"37"
"01A10067"	"Beer, lager"	""	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Approximately 5.0% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.006"	"The majority of nutrients were derived from a composite sample of 4 brands of Australian bottled or canned beer labelled as lager, purchased in Adelaide in 1990. I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Heavy metals were derived from beer samples purchased in all Australian states (except NT and ACT) in 1989 (19th ATDS). Folate and carotenes were derived from a composite of 6 samples of beer (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. Starch, fat, fatty acids, cholesterol fibre are imputed zero. Moisture adjusted to account for misidentified Ethanol."	"nil"	"100%"	"Beverages"	"Alcoholic"	"38"
"01A10069"	"Beer, stout"	""	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so that it is dark coloured. Approximately 5.7% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.013"	"The majority of nutrients were derived from a composite sample of 4 brands of Australian bottled beer labelled as being stout purchased in Adelaide and Canberra in 1990. I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Folate borrowed from UK 6th edition, record 1139.   Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"39"
"01A10068"	"Beer, carbohydrate-modified"	"Low carb beer"	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Approximately 4.0% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.001"	"The majority of nutrients were derived from a composite sample of 2 brands of Australian bottled beer labelled as being diet beer and/or carbohydrate modified purchased in Adelaide in 1990.  I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Folate was derived from a composite of 6 samples of beer (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"40"
"01A10070"	"Beer, reduced alcohol or light beer"	"Light beer"	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. Approximately 2.1% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.009"	"The majority of nutrients were derived from a composite sample of 3 brands of Australian bottled beer labelled as being light in style purchased in Adelaide in 1990. Folate was derived from a composite of 6 samples of beer (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Starch, dextrins and selenium are imputed based on other beers."	"nil"	"100%"	"Beverages"	"Alcoholic"	"41"
"01A10071"	"Beer, reduced alcohol or light beer, home-brewed"	"Home Brew"	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), and with a lower alcohol content than usual. Approximately 2.1% v/v alcohol."	""	"Calculated"	"6.25"	"0.800"	"1.009"	"Data prepared for AUSNUT 1999. The majority of values were estimated from data for regular beer, unspecified type (99.5 g/100 g) and brewers yeast (0.5 g). Starch, dextrins and selenium were imputed."	"nil"	"100%"	"Beverages"	"Alcoholic"	"42"
"01A10072"	"Beer, low alcohol (<1% alcohol v/v)"	"Extra light beer"	"Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Special/Ultra/Extra Light. Approximately 0.7% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.009"	"The majority of nutrients were derived from a composite sample of 3 brands of Australian beers sold in bottles or cans and described on labels as Special/Extra Light and 1 brand of Australian brewed soft drink, with an alcohol content of 0.5 to less than 1.15 per cent by volume.  I, Se, Cr, Ni and Se were derived from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 (22nd ATDS). Folate was derived from a composite of 6 samples of beer (2x XXXX Gold, 2x Carlton Gold, 2x Vic Bitter, 2x Tooheys Draught, 1x Swan Lager, 1x West End Draught) purchased in February 1998. Starch imputed zero."	"nil"	"100%"	"Beverages"	"Alcoholic"	"43"
"01A30127"	"Brandy"	""	"Alcoholic beverage obtained from the distillation of wine, or fermented preparations of grapes or grape product."	""	"Analysed"	"6.25"	"0.800"	"0.955"	"The majority of nutrients were derived from a composite sample of 2 brands of Australian brandy, purchased in Adelaide in December 1989. Folate borrowed from UK 5th edition(4S), 1994. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Beverages"	"Alcoholic"	"44"
"01A30136"	"Cider, apple, alcoholic, draught style"	""	"Alcoholic beverage prepared from fermented apples and served from a cask. Approximately 4% alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.008"	"The majority of proximate values were derived from a composite sample of 10 purchases of 4 brands of draught cider purchased in Adelaide in 1994/95. The majority of vitamins and minerals were derived from a composite sample of 5 samples of 1 brand of dry cider purchased in Adelaide in 1994/95. Ash, vitamin C, fat, chol, bcar and fibre were imputed and appear to be based on earlier NUTTAB 1995 and UK data."	"nil"	"100%"	"Beverages"	"Alcoholic"	"45"
"01A30137"	"Cider, apple, alcoholic, dry style"	""	"Alcoholic beverage prepared from fermented apples, with a low level of residual sugars. Approximately 4% alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.008"	"The majority of nutrients were derived from a composite sample of 5 brands of dry style apple cider purchased in Adelaide in 1994/5. Ash, vitamin C, fat, chol, bcar and fibre were imputed and appear to be based on earlier NUTTAB 1995 and UK data."	"nil"	"100%"	"Beverages"	"Alcoholic"	"46"
"01A30138"	"Cider, apple, alcoholic, sweet style"	""	"Alcoholic beverage prepared from fermented apples with significant residual sugars. Approximately 4% alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.008"	"The majority of proximate values were derived from a composite sample of 6 purchases of 2 brands of sweet cider purchased in Adelaide in 1994/95. The majority of vitamins and minerals were derived from a composite sample of 5 samples of 1 brand of dry cider purchased in Adelaide in 1994/95. Ash, vitamin C, fat, chol, bcar and fibre were imputed and appear to be based on earlier NUTTAB 1995 and UK data."	"nil"	"100%"	"Beverages"	"Alcoholic"	"47"
"01A30129"	"Gin"	""	"Alcoholic beverage produced by distillation of fermented cereals and flavoured with juniper."	""	"Analysed"	"6.25"	"0.800"	"0.955"	"The majority of nutrients were derived from a composite sample of 2 brands of gin, purchased in Adelaide in December 1989. Folate borrowed from UK 5th edition (4S), 1994."	"nil"	"100%"	"Beverages"	"Alcoholic"	"48"
"01A30133"	"Liqueur, advocaat"	""	"Alcoholic beverage prepared from brandy and egg yolks."	""	"NNS 1995"	"6.25"	"0.945"	"1.059"	"Data prepared for AUSNUT 1999. Some values such as fat were borrowed from UK tables. No further information is available."	"nil"	"100%"	"Beverages"	"Alcoholic"	"49"
"01A30134"	"Liqueur, cream-based, coffee flavour"	""	"Coffee flavoured alcoholic beverage mixed with dairy cream."	""	"Borrowed"	"6.25"	"0.945"	"1.059"	"Data prepared for AUSNUT 1999. The majority of data were from USDA, record 14415 and UK 5th edition 4S, record 242. Caffeine derived from samples purchased in Victoria in 2002. Individual sugars derived from samples purchased in Adelaide in 1989."	"nil"	"100%"	"Beverages"	"Alcoholic"	"50"
"01A30135"	"Liqueur, cream-based, non-coffee flavours"	""	"Flavoured alcoholic beverage mixed with dairy cream. Does not include coffee flavoured."	""	"Calculated"	"6.25"	"0.945"	"1.059"	"Data prepared for AUSNUT 1999. Nutrient values were obtained from American and British analytical data. No further information is available."	"nil"	"100%"	"Beverages"	"Alcoholic"	"51"
"01A30130"	"Ouzo"	""	"Alcoholic beverage flavoured with anise."	""	"NNS 1995"	"6.25"	"0.800"	"0.955"	"Data prepared for AUSNUT 1999. The majority of nutrients were derived from vodka, with adjustments made to moisture and alcohol values. Se imputed. No further information available."	"nil"	"100%"	"Beverages"	"Alcoholic"	"52"
"01A20101"	"Port (fortified wine)"	""	"Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. Approximately 14% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.040"	"The majority of nutrients were derived from a composite sample of 5 brands of Australian port or tawny port purchased in Adelaide in 1990."	"nil"	"100%"	"Beverages"	"Alcoholic"	"53"
"01A30131"	"Rum, dark & light coloured"	""	"Alcoholic beverage produced by distillation of fermented sugar. Includes both dark coloured and white coloured rum."	""	"Analysed"	"6.25"	"0.800"	"0.955"	"The majority of nutrients were derived from a composite sample of 2 brands of rum (imported and Australian-produced, dark and light coloured), purchased in Adelaide in December 1989. Folate borrowed from UK 5th edition (4S), 1994."	"nil"	"100%"	"Beverages"	"Alcoholic"	"54"
"01A20099"	"Sherry (fortified wine), dry style (~ 1% sugars)"	""	"Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). Approximately 14% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"0.989"	"The majority of nutrients were derived from a composite sample of 3 brands of Australian dry sherry purchased in Adelaide and another area of Australia in 1990. Folate borrowed from UK 5th edition (4S), record 237."	"nil"	"100%"	"Beverages"	"Alcoholic"	"55"
"01A20100"	"Sherry (fortified wine), sweet style (~11% sugars)"	""	"Fermented grape juice to which additional alcohol is added and with a high sugars content (approximately 11%) and a sweet flavour. Approximately 14.0% v/v alcohol."	""	"Analysed"	"6.25"	"0.800"	"1.031"	"The majority of nutrients were derived from a composite sample of 3 brands of Australian sweet sherry purchased in Adelaide and another area of Australia in 1990. Folate borrowed from UK 5th edition (4S), record 237."	"nil"	"100%"	"Beverages"	"Alcoholic"	"56"
"01A30132"	"Vodka"	""	"Alcoholic beverage prepared by distillation of fermented potatoes and/or grain."	""	"Analysed"	"6.25"	"0.800"	"0.955"	"The majority of nutrients were derived from 2 samples including 2 brands of vodka purchased in Adelaide, December 1989."	"nil"	"100%"	"Beverages"	"Alcoholic"	"57"
